"X.","X0","X1","X0.1","X1.1","X0.2","X1.2"
"  4","0 (0%)","0 (0%)","18 (23.7%)","7 (20.6%)","18 (15.7%)","7 (10.4%)"
"  5","0 (0%)","0 (0%)","31 (40.8%)","12 (35.3%)","31 (27.0%)","12 (17.9%)"
"  6","0 (0%)","0 (0%)","8 (10.5%)","7 (20.6%)","8 (7.0%)","7 (10.4%)"
"  7","0 (0%)","0 (0%)","2 (2.6%)","1 (2.9%)","2 (1.7%)","1 (1.5%)"
"  Missing","39 (100%)","33 (100%)","16 (21.1%)","6 (17.6%)","55 (47.8%)","39 (58.2%)"
"WHO-OSCI D7","","","","","",""
"  0","0 (0%)","0 (0%)","0 (0%)","1 (2.9%)","0 (0%)","1 (1.5%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  4","0 (0%)","0 (0%)","4 (5.3%)","0 (0%)","4 (3.5%)","0 (0%)"
"  5","0 (0%)","0 (0%)","5 (6.6%)","2 (5.9%)","5 (4.3%)","2 (3.0%)"
"  6","0 (0%)","0 (0%)","9 (11.8%)","7 (20.6%)","9 (7.8%)","7 (10.4%)"
"  7","0 (0%)","0 (0%)","1 (1.3%)","1 (2.9%)","1 (0.9%)","1 (1.5%)"
"  Missing","39 (100%)","33 (100%)","57 (75.0%)","23 (67.6%)","96 (83.5%)","56 (83.6%)"
"WHO-OSCI D14","","","","","",""
"  0","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  4","0 (0%)","0 (0%)","3 (3.9%)","0 (0%)","3 (2.6%)","0 (0%)"
"  5","0 (0%)","0 (0%)","3 (3.9%)","0 (0%)","3 (2.6%)","0 (0%)"
"  6","0 (0%)","0 (0%)","1 (1.3%)","4 (11.8%)","1 (0.9%)","4 (6.0%)"
"  7","0 (0%)","0 (0%)","2 (2.6%)","1 (2.9%)","2 (1.7%)","1 (1.5%)"
"  Missing","39 (100%)","33 (100%)","67 (88.2%)","29 (85.3%)","106 (92.2%)","62 (92.5%)"
"WHO-OSCI D21","","","","","",""
"  0","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  4","0 (0%)","0 (0%)","1 (1.3%)","0 (0%)","1 (0.9%)","0 (0%)"
"  5","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  6","0 (0%)","0 (0%)","2 (2.6%)","3 (8.8%)","2 (1.7%)","3 (4.5%)"
"  7","0 (0%)","0 (0%)","2 (2.6%)","1 (2.9%)","2 (1.7%)","1 (1.5%)"
"  Missing","39 (100%)","33 (100%)","71 (93.4%)","30 (88.2%)","110 (95.7%)","63 (94.0%)"
"WHO-OSCI D28","","","","","",""
"  0","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  4","0 (0%)","0 (0%)","0 (0%)","1 (2.9%)","0 (0%)","1 (1.5%)"
"  5","0 (0%)","0 (0%)","1 (1.3%)","0 (0%)","1 (0.9%)","0 (0%)"
"  6","0 (0%)","0 (0%)","1 (1.3%)","1 (2.9%)","1 (0.9%)","1 (1.5%)"
"  7","0 (0%)","0 (0%)","1 (1.3%)","2 (5.9%)","1 (0.9%)","2 (3.0%)"
"  Missing","39 (100%)","33 (100%)","73 (96.1%)","30 (88.2%)","112 (97.4%)","63 (94.0%)"
"WHO-OSCI DISCHARGE","","","","","",""
"  1","0 (0%)","0 (0%)","50 (65.8%)","18 (52.9%)","50 (43.5%)","18 (26.9%)"
"  2","0 (0%)","0 (0%)","19 (25.0%)","8 (23.5%)","19 (16.5%)","8 (11.9%)"
"  4","0 (0%)","0 (0%)","1 (1.3%)","2 (5.9%)","1 (0.9%)","2 (3.0%)"
"  8","0 (0%)","0 (0%)","6 (7.9%)","6 (17.6%)","6 (5.2%)","6 (9.0%)"
"  Missing","39 (100%)","33 (100%)","0 (0%)","0 (0%)","39 (33.9%)","33 (49.3%)"
"G-CSF (CSF-3)","","","","","",""
"  Mean (SD)","1.83 (2.65)","1.10 (1.28)","2.17 (2.85)","1.97 (1.77)","1.99 (2.73)","1.44 (1.53)"
"  Median [Min, Max]","1.04 [0, 11.6]","0.880 [0, 5.04]","1.19 [0, 10.5]","1.83 [0, 6.11]","1.19 [0, 11.6]","1.04 [0, 6.11]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"GM-CSF","","","","","",""
"  Mean (SD)","4.38 (15.6)","1.30 (4.26)","2.54 (6.67)","1.12 (2.25)","3.50 (12.1)","1.23 (3.59)"
"  Median [Min, Max]","0 [0, 77.1]","0 [0, 19.1]","0 [0, 25.7]","0 [0, 6.59]","0 [0, 77.1]","0 [0, 19.1]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IFN alpha","","","","","",""
"  Mean (SD)","0.0754 (0.236)","0.0648 (0.156)","1.28 (2.57)","0.242 (0.565)","0.652 (1.88)","0.133 (0.377)"
"  Median [Min, Max]","0 [0, 1.30]","0 [0, 0.743]","0.390 [0, 11.7]","0.0650 [0, 2.42]","0 [0, 11.7]","0 [0, 2.42]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IFN gamma","","","","","",""
"  Mean (SD)","3.12 (3.63)","1.98 (1.92)","1.92 (1.09)","2.41 (2.55)","2.54 (2.77)","2.15 (2.17)"
"  Median [Min, Max]","1.34 [0.290, 14.4]","1.26 [0.145, 8.51]","1.89 [0, 4.50]","1.49 [0.415, 11.6]","1.71 [0, 14.4]","1.37 [0.145, 11.6]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-1 beta","","","","","",""
"  Mean (SD)","0.859 (1.58)","0.544 (0.935)","1.18 (1.78)","0.988 (1.05)","1.01 (1.67)","0.716 (0.996)"
"  Median [Min, Max]","0.418 [0, 6.67]","0 [0, 3.74]","0.435 [0, 7.66]","0.720 [0, 3.73]","0.435 [0, 7.66]","0.290 [0, 3.74]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-2","","","","","",""
"  Mean (SD)","1.13 (4.41)","1.52 (4.12)","3.18 (8.47)","1.90 (2.81)","2.11 (6.70)","1.67 (3.64)"
"  Median [Min, Max]","0 [0, 26.0]","0 [0, 19.5]","0 [0, 35.1]","0.725 [0, 9.05]","0 [0, 35.1]","0 [0, 19.5]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-4","","","","","",""
"  Mean (SD)","7.61 (9.95)","7.10 (9.53)","13.1 (9.06)","13.5 (10.1)","10.3 (9.87)","9.58 (10.1)"
"  Median [Min, Max]","4.40 [0, 54.2]","4.24 [0.415, 48.5]","9.64 [0, 41.0]","9.82 [0.365, 34.1]","7.54 [0, 54.2]","6.24 [0.365, 48.5]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-5","","","","","",""
"  Mean (SD)","0.599 (0.850)","0.962 (1.69)","2.54 (4.85)","1.99 (1.79)","1.53 (3.52)","1.36 (1.78)"
"  Median [Min, Max]","0.113 [0, 2.81]","0 [0, 6.64]","0.680 [0, 18.1]","1.50 [0, 6.88]","0.460 [0, 18.1]","0.490 [0, 6.88]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-6","","","","","",""
"  Mean (SD)","9.27 (14.8)","11.9 (19.4)","9.02 (9.85)","72.4 (245)","9.15 (12.6)","35.4 (154)"
"  Median [Min, Max]","1.75 [0, 59.9]","3.61 [0, 86.2]","5.28 [0, 27.5]","3.32 [0, 1070]","2.88 [0, 59.9]","3.52 [0, 1070]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-8 (CXCL8)","","","","","",""
"  Mean (SD)","3.16 (6.64)","2.26 (2.24)","1.33 (1.17)","4.08 (10.3)","2.28 (4.92)","2.96 (6.61)"
"  Median [Min, Max]","0.600 [0, 30.9]","1.47 [0, 9.57]","1.04 [0, 4.23]","0.940 [0, 45.8]","0.930 [0, 30.9]","1.31 [0, 45.8]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-10","","","","","",""
"  Mean (SD)","0.204 (0.495)","0.985 (4.02)","0.751 (1.32)","0.768 (2.07)","0.466 (1.01)","0.901 (3.37)"
"  Median [Min, Max]","0 [0, 2.38]","0 [0, 22.0]","0.420 [0, 7.04]","0.0750 [0, 9.13]","0 [0, 7.04]","0 [0, 22.0]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-12p70","","","","","",""
"  Mean (SD)","1.97 (4.09)","0.952 (1.41)","1.32 (1.98)","1.15 (1.28)","1.66 (3.25)","1.03 (1.35)"
"  Median [Min, Max]","0.738 [0, 17.5]","0.233 [0, 5.84]","0.485 [0, 8.14]","0.695 [0, 4.69]","0.730 [0, 17.5]","0.540 [0, 5.84]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-13","","","","","",""
"  Mean (SD)","4.33 (10.5)","1.44 (3.89)","1.45 (3.06)","0.538 (0.951)","2.95 (7.96)","1.09 (3.11)"
"  Median [Min, Max]","0 [0, 48.9]","0 [0, 19.7]","0 [0, 12.0]","0.150 [0, 3.58]","0 [0, 48.9]","0 [0, 19.7]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-17A (CTLA-8)","","","","","",""
"  Mean (SD)","0.913 (2.84)","0.597 (0.916)","1.23 (2.42)","0.871 (1.01)","1.06 (2.63)","0.703 (0.951)"
"  Median [Min, Max]","0.135 [0, 17.3]","0.190 [0, 3.90]","0.350 [0, 13.2]","0.520 [0, 3.51]","0.345 [0, 17.3]","0.390 [0, 3.90]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-18","","","","","",""
"  Mean (SD)","103 (118)","83.3 (110)","58.8 (30.8)","83.1 (122)","81.7 (89.9)","83.2 (114)"
"  Median [Min, Max]","51.4 [11.9, 533]","54.8 [14.1, 619]","55.8 [0, 128]","42.5 [18.8, 551]","54.0 [0, 533]","49.6 [14.1, 619]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IP-10 (CXCL10)","","","","","",""
"  Mean (SD)","16.4 (20.6)","18.9 (21.7)","27.9 (16.5)","25.6 (19.6)","21.9 (19.5)","21.5 (21.0)"
"  Median [Min, Max]","8.80 [1.58, 114]","13.5 [2.80, 93.0]","26.1 [0, 66.9]","19.8 [6.72, 85.6]","15.4 [0, 114]","14.4 [2.80, 93.0]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"MCP-1 (CCL2)","","","","","",""
"  Mean (SD)","35.6 (30.1)","29.5 (21.8)","36.3 (27.0)","43.8 (46.8)","36.0 (28.5)","35.1 (34.0)"
"  Median [Min, Max]","25.2 [1.72, 110]","20.2 [5.00, 106]","22.0 [0, 90.8]","33.4 [4.71, 200]","25.1 [0, 110]","22.0 [4.71, 200]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"MIP-1 alpha (CCL3)","","","","","",""
"  Mean (SD)","0.912 (1.45)","0.792 (1.35)","0.881 (1.79)","1.19 (3.12)","0.897 (1.61)","0.948 (2.19)"
"  Median [Min, Max]","0.0225 [0, 4.96]","0.205 [0, 5.67]","0.0150 [0, 6.68]","0.0200 [0, 11.2]","0.0150 [0, 6.68]","0.0800 [0, 11.2]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"MIP-1 beta (CCL4)","","","","","",""
"  Mean (SD)","10.8 (16.4)","8.05 (13.7)","18.3 (21.5)","10.6 (16.8)","14.4 (19.2)","9.05 (14.9)"
"  Median [Min, Max]","3.83 [0, 70.1]","2.59 [0, 67.1]","6.56 [0, 69.0]","2.51 [0, 51.6]","4.56 [0, 70.1]","2.51 [0, 67.1]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"TNF alpha","","","","","",""
"  Mean (SD)","1.34 (1.51)","1.03 (0.945)","1.40 (1.30)","2.00 (2.04)","1.37 (1.40)","1.40 (1.52)"
"  Median [Min, Max]","0.865 [0, 8.60]","0.680 [0, 3.61]","0.945 [0, 4.99]","1.18 [0.470, 9.01]","0.890 [0, 8.60]","1.06 [0, 9.01]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"TNF beta","","","","","",""
"  Mean (SD)","0.617 (1.81)","0.242 (0.729)","0.900 (2.16)","0.200 (0.404)","0.753 (1.98)","0.225 (0.618)"
"  Median [Min, Max]","0 [0, 9.98]","0 [0, 3.34]","0 [0, 10.0]","0 [0, 1.40]","0 [0, 10.0]","0 [0, 3.34]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"Still_In_Hospital_08182023","","","","","",""
"  Yes","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  No","39 (100%)","33 (100%)","76 (100%)","34 (100%)","115 (100%)","67 (100%)"
"X.","X0","X1","X0.1","X1.1","X0.2","X1.2"
"","(N=39)","(N=33)","(N=76)","(N=34)","(N=115)","(N=67)"
"Whole.Blood","","","","","",""
"  Whole.Blood.1","0 (0%)","0 (0%)","41 (53.9%)","21 (61.8%)","41 (35.7%)","21 (31.3%)"
"  Whole.Blood...Trizol","0 (0%)","0 (0%)","35 (46.1%)","13 (38.2%)","35 (30.4%)","13 (19.4%)"
"  Missing","39 (100%)","33 (100%)","0 (0%)","0 (0%)","39 (33.9%)","33 (49.3%)"
"Plasma","","","","","",""
"  0","18 (46.2%)","13 (39.4%)","40 (52.6%)","13 (38.2%)","58 (50.4%)","26 (38.8%)"
"  1","21 (53.8%)","20 (60.6%)","36 (47.4%)","21 (61.8%)","57 (49.6%)","41 (61.2%)"
"Inpatient=1, ER=2, OP=3","","","","","",""
"  Inpatient","34 (87.2%)","30 (90.9%)","69 (90.8%)","31 (91.2%)","103 (89.6%)","61 (91.0%)"
"  ER","4 (10.3%)","2 (6.1%)","5 (6.6%)","2 (5.9%)","9 (7.8%)","4 (6.0%)"
"  OP","1 (2.6%)","1 (3.0%)","2 (2.6%)","1 (2.9%)","3 (2.6%)","2 (3.0%)"
"Age","","","","","",""
"  Mean (SD)","67.5 (18.1)","64.2 (16.8)","61.4 (16.4)","67.0 (13.7)","63.5 (17.2)","65.6 (15.2)"
"  Median [Min, Max]","74.0 [22.0, 92.0]","66.0 [28.0, 94.0]","61.5 [21.0, 93.0]","68.5 [36.0, 89.0]","64.0 [21.0, 93.0]","68.0 [28.0, 94.0]"
"Sex","","","","","",""
"  Male","18 (46.2%)","17 (51.5%)","45 (59.2%)","20 (58.8%)","63 (54.8%)","37 (55.2%)"
"  Female","21 (53.8%)","16 (48.5%)","31 (40.8%)","14 (41.2%)","52 (45.2%)","30 (44.8%)"
"Race","","","","","",""
"  White Non-Hispanic","27 (69.2%)","18 (54.5%)","48 (63.2%)","24 (70.6%)","75 (65.2%)","42 (62.7%)"
"  Black","3 (7.7%)","3 (9.1%)","7 (9.2%)","3 (8.8%)","10 (8.7%)","6 (9.0%)"
"  Indian/Asian","3 (7.7%)","3 (9.1%)","7 (9.2%)","1 (2.9%)","10 (8.7%)","4 (6.0%)"
"  Other","4 (10.3%)","2 (6.1%)","14 (18.4%)","6 (17.6%)","18 (15.7%)","8 (11.9%)"
"  Unknown","2 (5.1%)","7 (21.2%)","0 (0%)","0 (0%)","2 (1.7%)","7 (10.4%)"
"Height (cm)","","","","","",""
"  Mean (SD)","169 (12.7)","170 (12.4)","169 (10.0)","167 (10.7)","169 (11.0)","168 (11.6)"
"  Median [Min, Max]","168 [142, 198]","168 [142, 193]","170 [145, 191]","165 [150, 191]","168 [142, 198]","168 [142, 193]"
"Weight (kg)","","","","","",""
"  Mean (SD)","80.5 (24.5)","85.7 (22.6)","90.6 (30.8)","88.8 (22.0)","87.2 (29.1)","87.3 (22.2)"
"  Median [Min, Max]","73.1 [48.0, 134]","89.4 [45.4, 141]","86.0 [42.0, 217]","84.8 [45.2, 154]","82.3 [42.0, 217]","84.9 [45.2, 154]"
"BMI","","","","","",""
"  Mean (SD)","27.8 (6.97)","29.5 (6.49)","31.5 (9.87)","31.9 (7.35)","30.3 (9.13)","30.7 (6.99)"
"  Median [Min, Max]","25.8 [18.9, 47.7]","29.1 [16.7, 43.9]","29.0 [20.0, 71.6]","31.6 [19.5, 50.7]","28.0 [18.9, 71.6]","29.8 [16.7, 50.7]"
"If BMI ?30 Obesity Class (I,II,III)","","","","","",""
"  I","11 (28.2%)","8 (24.2%)","13 (17.1%)","11 (32.4%)","24 (20.9%)","19 (28.4%)"
"  II","3 (7.7%)","4 (12.1%)","10 (13.2%)","5 (14.7%)","13 (11.3%)","9 (13.4%)"
"  III","2 (5.1%)","2 (6.1%)","9 (11.8%)","3 (8.8%)","11 (9.6%)","5 (7.5%)"
"  Missing","23 (59.0%)","19 (57.6%)","44 (57.9%)","15 (44.1%)","67 (58.3%)","34 (50.7%)"
"Vaccinated","","","","","",""
"  No","2 (5.1%)","5 (15.2%)","69 (90.8%)","25 (73.5%)","71 (61.7%)","30 (44.8%)"
"  Yes","33 (84.6%)","24 (72.7%)","7 (9.2%)","9 (26.5%)","40 (34.8%)","33 (49.3%)"
"  Unknown","4 (10.3%)","4 (12.1%)","0 (0%)","0 (0%)","4 (3.5%)","4 (6.0%)"
"Dose #1","","","","","",""
"  No","2 (5.1%)","5 (15.2%)","69 (90.8%)","26 (76.5%)","71 (61.7%)","31 (46.3%)"
"  Yes","33 (84.6%)","24 (72.7%)","7 (9.2%)","8 (23.5%)","40 (34.8%)","32 (47.8%)"
"  Unknown","4 (10.3%)","4 (12.1%)","0 (0%)","0 (0%)","4 (3.5%)","4 (6.0%)"
"Dose #2","","","","","",""
"  No","7 (17.9%)","8 (24.2%)","74 (97.4%)","32 (94.1%)","81 (70.4%)","40 (59.7%)"
"  Yes","27 (69.2%)","18 (54.5%)","2 (2.6%)","2 (5.9%)","29 (25.2%)","20 (29.9%)"
"  Unknown","5 (12.8%)","7 (21.2%)","0 (0%)","0 (0%)","5 (4.3%)","7 (10.4%)"
"Booster","","","","","",""
"  No","12 (30.8%)","14 (42.4%)","75 (98.7%)","34 (100%)","87 (75.7%)","48 (71.6%)"
"  Yes","20 (51.3%)","12 (36.4%)","1 (1.3%)","0 (0%)","21 (18.3%)","12 (17.9%)"
"  Unknown","7 (17.9%)","7 (21.2%)","0 (0%)","0 (0%)","7 (6.1%)","7 (10.4%)"
"Critical Care","","","","","",""
"  0","25 (64.1%)","27 (81.8%)","70 (92.1%)","27 (79.4%)","95 (82.6%)","54 (80.6%)"
"  1","14 (35.9%)","6 (18.2%)","6 (7.9%)","7 (20.6%)","20 (17.4%)","13 (19.4%)"
"ICU LOS","","","","","",""
"  Mean (SD)","2.90 (7.36)","1.55 (4.40)","0.553 (2.50)","2.91 (8.60)","1.35 (4.84)","2.24 (6.84)"
"  Median [Min, Max]","0 [0, 43.0]","0 [0, 20.0]","0 [0, 19.0]","0 [0, 47.0]","0 [0, 43.0]","0 [0, 47.0]"
"LOS","","","","","",""
"  Mean (SD)","8.21 (9.80)","9.48 (8.61)","6.70 (7.91)","8.71 (11.1)","7.21 (8.58)","9.09 (9.89)"
"  Median [Min, Max]","4.00 [0, 46.0]","6.00 [0, 34.0]","4.00 [0, 41.0]","4.00 [0, 53.0]","4.00 [0, 46.0]","6.00 [0, 53.0]"
"Expired","","","","","",""
"  0","37 (94.9%)","32 (97.0%)","70 (92.1%)","28 (82.4%)","107 (93.0%)","60 (89.6%)"
"  1","2 (5.1%)","1 (3.0%)","6 (7.9%)","6 (17.6%)","8 (7.0%)","7 (10.4%)"
"Wave","","","","","",""
"  1","0 (0%)","0 (0%)","7 (9.2%)","1 (2.9%)","7 (6.1%)","1 (1.5%)"
"  2","0 (0%)","0 (0%)","27 (35.5%)","12 (35.3%)","27 (23.5%)","12 (17.9%)"
"  3","0 (0%)","0 (0%)","42 (55.3%)","21 (61.8%)","42 (36.5%)","21 (31.3%)"
"  4","39 (100%)","33 (100%)","0 (0%)","0 (0%)","39 (33.9%)","33 (49.3%)"
"Smoking History (0,1,2)","","","","","",""
"  Current","17 (43.6%)","14 (42.4%)","2 (2.6%)","2 (5.9%)","19 (16.5%)","16 (23.9%)"
"  Former","5 (12.8%)","6 (18.2%)","13 (17.1%)","9 (26.5%)","18 (15.7%)","15 (22.4%)"
"  Never","17 (43.6%)","13 (39.4%)","60 (78.9%)","23 (67.6%)","77 (67.0%)","36 (53.7%)"
"  Missing","0 (0%)","0 (0%)","1 (1.3%)","0 (0%)","1 (0.9%)","0 (0%)"
"CCI","","","","","",""
"  Mean (SD)","5.26 (3.82)","6.39 (3.79)","2.22 (1.87)","4.24 (2.43)","3.25 (3.04)","5.30 (3.33)"
"  Median [Min, Max]","5.00 [0, 14.0]","6.00 [1.00, 18.0]","2.00 [0, 7.00]","3.50 [1.00, 9.00]","3.00 [0, 14.0]","5.00 [1.00, 18.0]"
"Age_Category","","","","","",""
"  0","7 (17.9%)","6 (18.2%)","16 (21.1%)","3 (8.8%)","23 (20.0%)","9 (13.4%)"
"  1","4 (10.3%)","2 (6.1%)","18 (23.7%)","8 (23.5%)","22 (19.1%)","10 (14.9%)"
"  2","5 (12.8%)","12 (36.4%)","18 (23.7%)","7 (20.6%)","23 (20.0%)","19 (28.4%)"
"  3","14 (35.9%)","9 (27.3%)","13 (17.1%)","9 (26.5%)","27 (23.5%)","18 (26.9%)"
"  4","9 (23.1%)","4 (12.1%)","11 (14.5%)","7 (20.6%)","20 (17.4%)","11 (16.4%)"
"MI","","","","","",""
"  0","33 (84.6%)","28 (84.8%)","76 (100%)","33 (97.1%)","109 (94.8%)","61 (91.0%)"
"  1","6 (15.4%)","5 (15.2%)","0 (0%)","1 (2.9%)","6 (5.2%)","6 (9.0%)"
"HF","","","","","",""
"  0","27 (69.2%)","27 (81.8%)","75 (98.7%)","29 (85.3%)","102 (88.7%)","56 (83.6%)"
"  1","12 (30.8%)","6 (18.2%)","1 (1.3%)","5 (14.7%)","13 (11.3%)","11 (16.4%)"
"PVD","","","","","",""
"  0","37 (94.9%)","31 (93.9%)","75 (98.7%)","33 (97.1%)","112 (97.4%)","64 (95.5%)"
"  1","2 (5.1%)","2 (6.1%)","1 (1.3%)","1 (2.9%)","3 (2.6%)","3 (4.5%)"
"CVD","","","","","",""
"  0","30 (76.9%)","23 (69.7%)","74 (97.4%)","33 (97.1%)","104 (90.4%)","56 (83.6%)"
"  1","9 (23.1%)","10 (30.3%)","2 (2.6%)","1 (2.9%)","11 (9.6%)","11 (16.4%)"
"Dementia","","","","","",""
"  0","37 (94.9%)","31 (93.9%)","70 (92.1%)","29 (85.3%)","107 (93.0%)","60 (89.6%)"
"  1","2 (5.1%)","2 (6.1%)","6 (7.9%)","5 (14.7%)","8 (7.0%)","7 (10.4%)"
"COPD","","","","","",""
"  0","34 (87.2%)","27 (81.8%)","67 (88.2%)","29 (85.3%)","101 (87.8%)","56 (83.6%)"
"  1","5 (12.8%)","6 (18.2%)","9 (11.8%)","5 (14.7%)","14 (12.2%)","11 (16.4%)"
"Rheum/ CONNECTIVE TISSUE DISEASE","","","","","",""
"  0","37 (94.9%)","32 (97.0%)","75 (98.7%)","34 (100%)","112 (97.4%)","66 (98.5%)"
"  1","2 (5.1%)","1 (3.0%)","1 (1.3%)","0 (0%)","3 (2.6%)","1 (1.5%)"
"PUD","","","","","",""
"  0","37 (94.9%)","32 (97.0%)","76 (100%)","34 (100%)","113 (98.3%)","66 (98.5%)"
"  1","2 (5.1%)","1 (3.0%)","0 (0%)","0 (0%)","2 (1.7%)","1 (1.5%)"
"mliverd","","","","","",""
"  0","37 (94.9%)","33 (100%)","76 (100%)","32 (94.1%)","113 (98.3%)","65 (97.0%)"
"  1","2 (5.1%)","0 (0%)","0 (0%)","2 (5.9%)","2 (1.7%)","2 (3.0%)"
"DiabNC","","","","","",""
"  0","38 (97.4%)","7 (21.2%)","76 (100%)","11 (32.4%)","114 (99.1%)","18 (26.9%)"
"  1","1 (2.6%)","26 (78.8%)","0 (0%)","23 (67.6%)","1 (0.9%)","49 (73.1%)"
"DiabC","","","","","",""
"  0","38 (97.4%)","7 (21.2%)","76 (100%)","11 (32.4%)","114 (99.1%)","18 (26.9%)"
"  1","1 (2.6%)","26 (78.8%)","0 (0%)","23 (67.6%)","1 (0.9%)","49 (73.1%)"
"Hemoplegia","","","","","",""
"  0","38 (97.4%)","30 (90.9%)","76 (100%)","34 (100%)","114 (99.1%)","64 (95.5%)"
"  1","1 (2.6%)","3 (9.1%)","0 (0%)","0 (0%)","1 (0.9%)","3 (4.5%)"
"RenalD","","","","","",""
"  0","34 (87.2%)","22 (66.7%)","72 (94.7%)","29 (85.3%)","106 (92.2%)","51 (76.1%)"
"  1","5 (12.8%)","11 (33.3%)","4 (5.3%)","5 (14.7%)","9 (7.8%)","16 (23.9%)"
"Cancer","","","","","",""
"  0","34 (87.2%)","29 (87.9%)","75 (98.7%)","30 (88.2%)","109 (94.8%)","59 (88.1%)"
"  1","5 (12.8%)","4 (12.1%)","0 (0%)","0 (0%)","5 (4.3%)","4 (6.0%)"
"  2","0 (0%)","0 (0%)","1 (1.3%)","4 (11.8%)","1 (0.9%)","4 (6.0%)"
"msliver","","","","","",""
"  0","37 (94.9%)","32 (97.0%)","76 (100%)","34 (100%)","113 (98.3%)","66 (98.5%)"
"  1","2 (5.1%)","1 (3.0%)","0 (0%)","0 (0%)","2 (1.7%)","1 (1.5%)"
"MetaCancer","","","","","",""
